Topic,Caption,Top_Words,N_Documents
0,"fpt play và ramirez pino - trận, việt nam","trận, việt_nam, philippines, nữ, bóng",54
1,"luật qh ngh (trung ương, dự án)","trung_ương, dự_án, phát_triển, đại_biểu, tổ_chức",290
2,"giông nơ và dông khả - mưa, nhất độ","mưa, nhất_độ, nhiệt_độ, nhiệt_độ nhất_độ, mây",14
3,"sxmt trực tuyến (chủ nhật, huế)","chủ_nhật, huế, xspy, vietlott, phú_yên",98
4,"fukushima higashidori onagawa (việt nam, doanh nghiệp)","việt_nam, doanh_nghiệp, hoạt_động, khu_vực, thành_phố",1596
5,"giải và đồng giải - giải giải, thưởng","giải, giải giải, thưởng, trúng, trị_giá",15
6,"không khí và hà nội - ô nhiễm, chất lượng","không_khí, ô_nhiễm, hà_nội, chất_lượng, chỉ_số",15
7,"sức khỏe (mưa, rét)","mưa, rét, khu_vực, dự_báo, biển",44
8,"xs vietlott và vietlott xs vietlott - power, vietlott power","vietlott, vietlott vietlott, power, vietlott power, power vietlott",33
9,"thuế vat (giá, cập nhật)","giá, cập_nhật, chi_tiết, viết, hãng",91
10,"đường sắt việt và ngành đường sắt - giao thông, an toàn","đường_sắt, giao_thông, an_toàn, km, xây_dựng",18
11,"nhất độ nhiệ (mưa, nhiệt độ)","mưa, nhiệt_độ, dông, rét, sương_mù",18
12,"vàng và giá - giá vàng, mua","vàng, giá, giá vàng, mua, phiên",36
13,"giải và công ty - thưởng, trúng","thưởng, giải, trúng, vé, công_ty",29
14,"vàng miếng (ngân hàng, lãi suất)","ngân_hàng, lãi_suất, thị_trường, nhà_nước, ngân_hàng nhà_nước",38
