Topic,Count,Ten_Chu_De,Representation
-1,272,Nhiễu/Không xác định,"['hoàn_thành', 'phát_triển', 'văn_hóa', 'thi_đua', 'quảng_ngãi', 'xã_hội', 'quốc_hội', 'hóa', 'kế_hoạch', 'công_tác']"
0,1077,Chính sách & Phát triển Kinh tế,"['phát_triển', 'quốc_hội', 'quốc_phòng', 'trận', 'ban_nhân_dân', 'trung_ương', 'hóa', 'chỉ_đạo', 'kế_hoạch', 'khu_vực']"
1,183,Thị trường Ô tô & Xe sang,"['đại_lý', 'phiên_bản', 'phân_khúc', 'ô_tô', 'rx', 'lexus', 'chi_tiết', 'phanh', 'vận_hành', 'cập_nhật']"
2,154,Kết quả Xổ số kiến thiết,"['giải_jackpot', 'quảng_ngãi', 'độc_đắc', 'vé_số', 'đồng_giải', 'giải_thưởng', 'quảng_bình', 'chữ_số', 'bình_phước', 'xsđl']"
3,107,Thời tiết & Thiên tai,"['xử_phạt', 'phạt', 'kiểm_soát', 'cồn', 'khống_chế', 'hành_vi', 'kiểm_tra', 'chấp_hành', 'thông_tin', 'trường_hợp']"
4,87,4_mưa_dông_mưa_đá_mưa_mưa_rào,"['mưa_dông', 'mưa_đá', 'mưa', 'mưa_rào', 'thời_tiết', 'thủy_văn', 'nhất_c', 'rét_hại', 'trời', 'nhiệt_độ']"
5,58,5_tỷ_giá_ngoại_hối_tín_dụng_tiền_tệ,"['tỷ_giá', 'ngoại_hối', 'tín_dụng', 'tiền_tệ', 'vĩ_mô', 'kỳ_hạn', 'ngoại_tệ', 'lạm_phát', 'ngân_hàng', 'a_bank']"
6,46,6_vàng_vàng_nhẫn_đồng_lượng_vàng_bạc,"['vàng', 'vàng_nhẫn', 'đồng_lượng', 'vàng_bạc', 'nhẫn', 'kim_loại', 'mỹ_fed', 'giao_dịch', 'sjc', 'ounce']"
7,32,7_xăng_dầu_xăng_dầu_thô_dầu_brent,"['xăng_dầu', 'xăng', 'dầu_thô', 'dầu_brent', 'dầu', 'đồng_lít', 'dầu_mỏ', 'mỹ_fed', 'lạm_phát', 'lít_giá']"
8,31,8_giải_thể_cắt_giảm_thủy_sản_đăng_ký,"['giải_thể', 'cắt_giảm', 'thủy_sản', 'đăng_ký', 'doanh_nghiệp', 'chế_tạo', 'thành_lập', 'kỳ_nghìn', 'ngừng', 'gia_nhập']"
