Topic,Caption,Top_Words,N_Documents
0,"tàu và trung ương - dự án, doanh nghiệp","trung_ương, dự_án, doanh_nghiệp, phát_triển, tổ_chức",726
1,"luật qh ngh và môn thi đấu - bé, tin tức","bé, tin_tức, công_ty, chó, trẻ",121
2,"cảnh sát và công an - giao thông, đường sắt","công_an, giao_thông, đường_sắt, tiền, lực_lượng",263
3,"fukushima higashidori onagawa và trường sa - mưa, nhiệt độ","mưa, nhiệt_độ, khu_vực, biển, rét",272
4,"hoa và trà - núi, rùa","hoa, trà, núi, rùa, loài",13
5,"mỹ donald trump và dải gaza - nga, tổng thống","nga, tổng_thống, khu_vực, thái_lan, ukraine",108
6,"fpt play và nhiệm vụ song - việt nam, trận","việt_nam, trận, philippines, nữ, bóng",156
7,"mega vietlott (giải, chủ nhật)","vietlott, giải, chủ_nhật, thưởng, huế",230
8,"mùa và hội chợ - album, thu","album, mùa, thu, hoạt_động, phát_sóng",4
9,"giá và vàng - thị trường, mua","giá, vàng, thị_trường, mua, ngân_hàng",356
10,"phim và khán giả - diễn viên, sống","phim, khán_giả, diễn_viên, sống, trung_ương",46
11,"tuổi thọ và nguy cơ - đậu, chuyên gia","đậu, chuyên_gia, giàu, nguy_cơ, chất",1
12,"sân bay long (hãng, hàng không)","bay, hãng, hàng_không, ấn_độ, sân_bay",31
13,"tý h-h (xuất hành, hoàng đạo)","xuất_hành, hoàng_đạo, hướng, hắc_đạo, kỵ",27
14,"súng ma túy (biên phòng, đồn)","biên_phòng, đồn biên_phòng, đồn, đối_tượng, hóa",35
