Topic,Caption,Top_Words,N_Documents
0,"nạn tình huống và fukushima higashidori onagawa - mưa, nhiệt độ","mưa, nhiệt_độ, rét, dông, nhất_độ",159
1,"luật qh ngh (giá, trung ương)","giá, trung_ương, vàng, dự_án, việt_nam",898
2,"dịp giáng sinh (vàng, giá vàng)","giá, vàng, giá vàng, mua, niêm_yết",120
3,"vietlott xs vietlott và mega vietlott - giải, vietlott vietlott","vietlott, giải, vietlott vietlott, power, thưởng",78
4,"vượng quý nhân (giải, giải giải)","giải, giải giải, thưởng, trúng, giải trúng",69
5,"microsoft công bố (doanh nghiệp, đăng ký)","doanh_nghiệp, đăng_ký, kỳ, vốn, thành_lập",49
6,"thuế vat (vàng, giá vàng)","vàng, giá vàng, mua, trung_ương, phiên",110
7,"môn thi đấu (giá, dự án)","giá, dự_án, đại_biểu, trung_ương, quốc_hội",113
8,"ngân hàng và lãi suất - thị trường, nhà nước","ngân_hàng, thị_trường, lãi_suất, nhà_nước, kinh_tế",69
9,"fpt play và nhiệm vụ song - việt nam, trận","việt_nam, trận, nữ, philippines, vàng",137
10,"sân bay long và đảo trường sa - dự án, trung ương","dự_án, trung_ương, việt_nam, trận, nữ",129
11,"cảnh sát và công an - đường sắt, giao thông","đường_sắt, giao_thông, nhất_độ, công_an, nhiệt_độ nhất_độ",123
12,"luật và đại biểu - án, thi hành","án, thi_hành, quốc_hội, thi_hành án, đại_biểu",63
13,"sxmt trực tuyến và mega vietlott - chủ nhật, huế","chủ_nhật, huế, xspy, phú_yên, đà_nẵng",119
14,"tàu và điện - đường sắt, đại biểu","đường_sắt, đại_biểu, giao_thông, km, an_toàn",153
